survey_no,ownership_category,registered_owner,phone,land_type,total_extent_acres,acquisition_status,compensation_assessed,compensation_disbursed_pct,affected_families,legal_disputes,acquisition_date,last_updated
1,Private,M. Sundaram (1),9840123456,Wetland (Nanja),2.16,Notified,1080000.0,20.0,3,0,2026-06-26,2026-09-08
2,Joint Family,K. Shanmugam & Bros (2),9444123890,Wetland (Nanja),3.8,Notified,1900000.0,30.0,3,0,2026-04-19,2026-09-08
3,Government,Government of Tamil Nadu,044-25670123,Poramboke (Waterbody),5.72,Possessed,2860000.0,100.0,0,0,2025-08-05,2026-09-08
4,Private,R. Lakshmi Ammal (4),9884567890,Dryland (Punja),2.1,Awarded,1050000.0,60.0,2,0,2026-03-11,2026-09-08
5,Private,T. Ramasamy Gounder (5),9790123456,Wetland (Nanja),5.33,Pending,2665000.0,0.0,1,0,,2026-09-08
6,Trust / Institution,Arulmigu Mariamman Temple Trust (6),9443210987,Dryland (Punja),3.92,Notified,1960000.0,20.0,1,0,2026-03-25,2026-09-08
7,Private,A. Mohammed Farooq (7),9841234567,Commercial,0.76,Notified,380000.0,30.0,3,0,2026-04-10,2026-09-08
8,Private,V. Subramanian (8),9940123789,Residential Plot,0.41,Awarded,205000.0,85.0,3,1,2025-11-25,2026-09-08
9,Government,Public Works Department (PWD),044-25678901,Poramboke (Road),3.6,Notified,1800000.0,20.0,0,0,2026-05-21,2026-09-08
10,Joint Family,S. Krishnaveni & Sons (10),9842109876,Wetland (Nanja),3.52,Notified,1760000.0,30.0,1,1,2026-07-07,2026-09-08
11,Private,Dr. N. Vijayaraghavan (11),9445678901,Dryland (Punja),6.6,Awarded,3300000.0,60.0,1,0,2025-12-13,2026-09-08
12,Government,TN Housing Board,044-24765432,Residential Land,8.84,Pending,4420000.0,0.0,0,0,,2026-09-08
13,Private,P. Marimuthu (13),9789012345,Wetland (Nanja),2.59,Notified,1295000.0,40.0,2,0,2026-06-06,2026-09-08
14,Private,G. Balasubramaniam (14),9840987654,Wetland (Nanja),1.68,Pending,840000.0,0.0,2,0,,2026-09-08
15,Firm / Corporate,K. Selvam & Co (15),9444321654,Commercial,1.12,Pending,560000.0,0.0,2,0,,2026-09-08
16,Private,M. Sundaram (16),9840123456,Wetland (Nanja),2.4,Awarded,1200000.0,75.0,2,1,2025-12-29,2026-09-08
17,Joint Family,K. Shanmugam & Bros (17),9444123890,Wetland (Nanja),4.18,Awarded,2090000.0,85.0,2,0,2025-12-31,2026-09-08
18,Government,Government of Tamil Nadu,044-25670123,Poramboke (Waterbody),6.24,Pending,3120000.0,0.0,0,0,,2026-09-08
19,Private,R. Lakshmi Ammal (19),9884567890,Dryland (Punja),2.27,Notified,1135000.0,30.0,1,0,2026-03-22,2026-09-08
20,Private,T. Ramasamy Gounder (20),9790123456,Wetland (Nanja),5.74,Possessed,2870000.0,100.0,1,0,2025-05-09,2026-09-08
21,Trust / Institution,Arulmigu Mariamman Temple Trust (21),9443210987,Dryland (Punja),2.24,Awarded,1120000.0,60.0,3,0,2025-12-14,2026-09-08
22,Private,A. Mohammed Farooq (22),9841234567,Commercial,0.85,Notified,425000.0,40.0,3,0,2026-06-30,2026-09-08
27,Private,V. Subramanian (27),9940123789,Residential Plot,0.63,Awarded,315000.0,60.0,2,0,2026-03-08,2026-09-08
28,Government,Public Works Department (PWD),044-25678901,Poramboke (Road),2.88,Pending,1440000.0,0.0,0,0,,2026-09-08
29,Joint Family,S. Krishnaveni & Sons (29),9842109876,Wetland (Nanja),2.88,Notified,1440000.0,30.0,3,0,2026-06-08,2026-09-08
30,Private,Dr. N. Vijayaraghavan (30),9445678901,Dryland (Punja),5.5,Pending,2750000.0,0.0,3,0,,2026-09-08
31,Government,TN Housing Board,044-24765432,Residential Land,7.48,Pending,3740000.0,0.0,0,0,,2026-09-08
32,Private,P. Marimuthu (32),9789012345,Wetland (Nanja),2.22,Notified,1110000.0,40.0,3,0,2026-04-24,2026-09-08
